Age,Gender,Nationality,Occupation,Monthly_Income,City,HealthDrinkFreq,HealthInfoSource,DietaryRestrictions,RegularBeverages,HealthyLifestyleImportance,HealthDrinkPreferences,DietChallenges,PurchaseLocation,WillingnessToSpend,LikelihoodTryNewBrand,WillingToSwitch,TryDrivers,FlavorPreferences,FunctionalNeeds,DrinkPerceptions,AssociatedBrands,LikelihoodToRecommend,SubscriptionInterest,Comments
45-54,Prefer not to say,Emirati,Other,"35,001-50,000",Abu Dhabi,Occasionally,Magazines/TV,"Vegetarian, Gluten-Free, Diabetic","Water, Soft Drinks, Energy Drinks",Extremely Important,"Added Vitamins, Affordable Price, Other","Lack of Time, Lack of Information, Limited Options",Supermarkets,5-10,Very Likely,No,"Free Samples, Discounts, Health Benefits","Tropical, Chocolate, Plain","Immunity, Weight Management, No Specific Issues","Too Expensive, Innovative","BrandA, BrandB, Brand_L",Very Likely,Maybe,
25-34,Other,Western Expat,Retired,">50,000",Ajman,Occasionally,Other,"Gluten-Free, Diabetic",Soft Drinks,Not Important,"Taste, Low Sugar, Added Vitamins, Affordable Price, Other","Lack of Time, Cost, Lack of Information, Taste Preferences, None",Online,<5,Likely,Yes,"Recommendations, Health Benefits, Other","Berries, Citrus",Digestion,"Too Expensive, Not Tasty, Good Value, Other","BrandE, BrandB, Brand_V",Very Likely,Yes,
55+,Female,Other,Homemaker,"<5,000",Dubai,Never,Health Professionals,"Vegetarian, Vegan, Diabetic","Soft Drinks, Juices, Energy Drinks, Tea/Coffee",Somewhat Important,"Taste, Low Sugar, Added Vitamins, Affordable Price, Brand Reputation, Convenience","Cost, None",Gyms,16-25,Very Likely,No,"Discounts, Recommendations, Health Benefits","Tropical, Herbal","Immunity, Stress Relief","Not Tasty, Not Widely Available","BrandC, Brand_O",Neutral,Maybe,
25-34,Female,Other,Other,"5,000-10,000",Other,Daily,Health Professionals,"Vegetarian, Vegan, Gluten-Free","Water, Milk",Very Important,"Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Other","Cost, None",Convenience Stores,16-25,Very Unlikely,Maybe,"Free Samples, Discounts, Attractive Packaging, Other","Berries, Citrus, Tropical, Herbal, Chocolate, Plain","Immunity, Skin/Hair health",Not Widely Available,BrandB,Very Unlikely,Yes,
Under 18,Other,Western Expat,Business Owner,"<5,000",Abu Dhabi,Never,Health Professionals,"Vegetarian, Lactose-Free, Diabetic","Water, Soft Drinks, Juices, Milk",Somewhat Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price","Lack of Information, Limited Options, Taste Preferences, None",Supermarkets,<5,Very Unlikely,No,"Free Samples, Recommendations, Attractive Packaging, Other","Berries, Citrus, Tropical, Plain","Digestion, Energy, Stress Relief, No Specific Issues","Good Value, Innovative",BrandC,Very Likely,No,
45-54,Other,Arab Expat,Student,"10,001-20,000",Other,Occasionally,Other,"Vegan, Gluten-Free","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price, Brand Reputation","Lack of Information, Taste Preferences, None",Supermarkets,11-15,Likely,No,"Free Samples, Discounts, Recommendations, Health Benefits",Berries,"Weight Management, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty, Good Value, Innovative","Brand_I, BrandD",Very Likely,No,
25-34,Female,Other,Business Owner,">50,000",Abu Dhabi,Never,Other,"Vegetarian, Lactose-Free, Diabetic","Water, Sports Drinks, Milk, Other",Somewhat Important,"Taste, Natural Ingredients, Added Vitamins","Lack of Time, Lack of Information, None",Online,>25,Very Likely,Maybe,"Free Samples, Recommendations, Attractive Packaging","Chocolate, Other","Immunity, Digestion, Energy, Skin/Hair health","Not Tasty, Not Widely Available, Good Value, High Quality","BrandC, BrandE, BrandA, Brand_F",Unlikely,Yes,
25-34,Other,Other,Student,"10,001-20,000",Dubai,Frequently,Other,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Energy Drinks",Extremely Important,"Added Vitamins, Brand Reputation","Lack of Time, Taste Preferences, None",Supermarkets,16-25,Very Likely,No,Recommendations,"Citrus, Chocolate, Plain","Digestion, Energy, Weight Management","Not Tasty, Not Widely Available, Good Value","BrandA, Brand_R",Unlikely,Yes,Too expensive
18-24,Prefer not to say,Emirati,Working Professional,">50,000",Ras Al Khaimah,Never,Friends/Family,Diabetic,"Water, Sports Drinks, Milk",Somewhat Important,Taste,"Lack of Information, Limited Options",Gyms,16-25,Very Likely,Maybe,"Free Samples, Discounts, Attractive Packaging, Health Benefits","Tropical, Other","Immunity, Stress Relief","Too Expensive, Not Tasty, Good Value","BrandA, BrandB, Brand_L",Likely,Yes,
25-34,Prefer not to say,Western Expat,Business Owner,"35,001-50,000",Dubai,Rarely,Health Professionals,"Vegan, Gluten-Free, Diabetic","Water, Juices, Sports Drinks, Tea/Coffee, Milk, Other",Important,"Taste, Low Sugar, Added Vitamins, Brand Reputation, Convenience","Lack of Time, Limited Options, Taste Preferences",Convenience Stores,<5,Very Unlikely,No,"Free Samples, Discounts, Other","Berries, Tropical, Herbal, Chocolate, Plain","Immunity, Energy, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty, Not Widely Available, High Quality","Brand_J, BrandB",Likely,Yes,
25-34,Prefer not to say,Other,Working Professional,"5,000-10,000",Abu Dhabi,Never,Other,"Vegetarian, Vegan, Gluten-Free, Diabetic","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Other",Somewhat Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price, Convenience, Other","Lack of Time, Cost, Lack of Information, Taste Preferences, None",Online,16-25,Unlikely,Maybe,"Discounts, Attractive Packaging, Health Benefits","Berries, Herbal, Chocolate","Energy, Weight Management",Not Widely Available,"BrandC, BrandE",Very Unlikely,Maybe,
55+,Female,Western Expat,Student,">50,000",Ras Al Khaimah,Occasionally,Magazines/TV,"Gluten-Free, Diabetic","Water, Juices, Sports Drinks, Tea/Coffee, Other",Not Important,"Taste, Low Sugar, Added Vitamins, Affordable Price","Lack of Information, Limited Options, Taste Preferences",Convenience Stores,16-25,Unlikely,Maybe,"Free Samples, Discounts, Attractive Packaging, Other","Berries, Tropical, Herbal, Plain","Energy, Weight Management, Skin/Hair health",Good Value,"Brand_O, BrandB",Very Likely,No,
35-44,Prefer not to say,Emirati,Retired,"20,001-35,000",Ajman,Occasionally,Other,"Vegetarian, Gluten-Free, Diabetic","Water, Soft Drinks, Juices, Sports Drinks",Very Important,"Taste, Added Vitamins, Brand Reputation, Convenience, Other","Limited Options, Taste Preferences, None",Cafes/Restaurants,11-15,Very Likely,No,"Free Samples, Recommendations, Attractive Packaging, Health Benefits, Other","Citrus, Herbal, Chocolate","Immunity, Energy, Skin/Hair health, No Specific Issues","Too Expensive, High Quality","BrandC, BrandD",Neutral,Yes,
18-24,Female,Western Expat,Retired,"<5,000",Other,Occasionally,Social Media,Vegan,Soft Drinks,Important,"Added Vitamins, Affordable Price, Other","Lack of Time, Cost, Lack of Information, Limited Options, Taste Preferences",Online,<5,Very Likely,No,"Discounts, Recommendations, Attractive Packaging, Health Benefits","Citrus, Tropical, Other","Digestion, Energy, Weight Management, Stress Relief","Not Widely Available, High Quality","BrandC, BrandA",Neutral,Yes,
18-24,Other,Western Expat,Other,"20,001-35,000",Sharjah,Frequently,Social Media,Lactose-Free,"Soft Drinks, Juices",Somewhat Important,"Low Sugar, Natural Ingredients, Affordable Price",Lack of Time,Cafes/Restaurants,16-25,Neutral,No,"Free Samples, Health Benefits","Chocolate, Plain","Energy, Skin/Hair health, Stress Relief","Too Expensive, Innovative","BrandA, Brand_W",Unlikely,No,
18-24,Prefer not to say,Emirati,Business Owner,"20,001-35,000",Dubai,Occasionally,Health Professionals,"Lactose-Free, Diabetic","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee",Extremely Important,"Taste, Low Sugar, Added Vitamins, Affordable Price, Convenience, Other","Lack of Time, Limited Options, None",Other,5-10,Likely,No,"Free Samples, Attractive Packaging, Health Benefits","Tropical, Herbal, Chocolate","Immunity, Digestion, Skin/Hair health","Not Tasty, Good Value, High Quality","BrandE, Brand_Q",Likely,Yes,
Under 18,Female,Other,Business Owner,"20,001-35,000",Sharjah,Rarely,Health Professionals,"Vegetarian, Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation","Lack of Time, Taste Preferences",Supermarkets,<5,Very Unlikely,No,"Attractive Packaging, Health Benefits",Herbal,"Digestion, Stress Relief, No Specific Issues","Not Tasty, Not Widely Available, High Quality","BrandC, BrandB, Brand_M",Very Unlikely,No,
18-24,Male,Western Expat,Other,"20,001-35,000",Ajman,Never,Health Professionals,Diabetic,"Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Other",Not Important,"Taste, Natural Ingredients, Added Vitamins","Lack of Time, Lack of Information, Limited Options, Taste Preferences, None",Other,11-15,Neutral,No,"Free Samples, Discounts, Attractive Packaging","Tropical, Herbal","Immunity, Digestion, Energy, Weight Management, Stress Relief","Not Tasty, High Quality",BrandA,Unlikely,No,
55+,Prefer not to say,Arab Expat,Other,"<5,000",Dubai,Daily,Friends/Family,"Gluten-Free, Lactose-Free","Water, Juices, Energy Drinks, Tea/Coffee, Milk",Very Important,"Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation","Lack of Time, Cost, Lack of Information",Cafes/Restaurants,>25,Very Likely,Yes,"Free Samples, Discounts, Recommendations, Attractive Packaging, Health Benefits, Other",Herbal,"Immunity, Digestion, No Specific Issues","Too Expensive, Not Tasty, High Quality, Innovative, Other","Brand_G, BrandA",Unlikely,Yes,
35-44,Prefer not to say,Other,Homemaker,"10,001-20,000",Sharjah,Occasionally,Social Media,"Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Juices, Tea/Coffee, Other",Very Important,"Low Sugar, Natural Ingredients, Convenience",None,Supermarkets,16-25,Unlikely,No,"Attractive Packaging, Health Benefits, Other","Citrus, Tropical, Herbal, Plain","Immunity, Skin/Hair health","Too Expensive, Not Tasty, Good Value, High Quality","BrandC, Brand_G, BrandD",Very Unlikely,Maybe,
Under 18,Female,Emirati,Retired,"<5,000",Ajman,Never,Social Media,"Vegetarian, Gluten-Free, Lactose-Free","Water, Soft Drinks, Sports Drinks, Tea/Coffee",Somewhat Important,"Added Vitamins, Affordable Price, Brand Reputation, Convenience","Lack of Information, Taste Preferences, None",Other,5-10,Unlikely,Yes,"Free Samples, Attractive Packaging, Health Benefits",Citrus,"Digestion, Energy, Skin/Hair health, No Specific Issues","Good Value, High Quality","BrandE, Brand_Y",Very Unlikely,Yes,
55+,Female,Asian Expat,Homemaker,"10,001-20,000",Ras Al Khaimah,Frequently,Health Professionals,Lactose-Free,"Juices, Sports Drinks",Not Important,"Taste, Added Vitamins, Convenience","Lack of Time, Cost, Limited Options, None",Convenience Stores,5-10,Neutral,Yes,"Free Samples, Discounts, Recommendations","Berries, Citrus, Tropical, Herbal, Chocolate","Digestion, Energy, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty, Good Value, Other",BrandD,Very Likely,Maybe,
18-24,Other,Arab Expat,Student,"10,001-20,000",Ajman,Never,Social Media,"Vegetarian, Vegan, Lactose-Free","Water, Soft Drinks, Juices, Tea/Coffee, Milk, Other",Not Important,"Taste, Added Vitamins, Convenience","Cost, Limited Options",Gyms,>25,Unlikely,Yes,Free Samples,"Citrus, Tropical, Herbal, Chocolate, Other","Immunity, Skin/Hair health","Too Expensive, High Quality, Innovative","BrandA, Brand_I",Very Unlikely,Yes,
35-44,Female,Other,Retired,"<5,000",Dubai,Occasionally,Social Media,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic",Energy Drinks,Very Important,"Taste, Low Sugar, Natural Ingredients, Other","Cost, Limited Options, None",Online,<5,Unlikely,No,"Free Samples, Other","Berries, Citrus, Herbal, Plain, Other","Immunity, Weight Management, No Specific Issues","Not Tasty, Good Value, Innovative","BrandA, Brand_R",Very Unlikely,Maybe,
55+,Other,Emirati,Business Owner,"<5,000",Abu Dhabi,Occasionally,Friends/Family,"Vegetarian, Vegan, Lactose-Free","Water, Soft Drinks, Energy Drinks, Tea/Coffee",Very Important,"Added Vitamins, Affordable Price, Brand Reputation, Convenience","Lack of Time, None",Supermarkets,11-15,Likely,Maybe,"Discounts, Health Benefits","Berries, Citrus, Tropical, Herbal, Chocolate, Plain","Energy, Stress Relief","Too Expensive, Not Widely Available, High Quality","BrandA, BrandD, Brand_Z",Unlikely,No,
35-44,Male,Arab Expat,Other,"<5,000",Abu Dhabi,Occasionally,Magazines/TV,"Vegan, Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Energy Drinks, Sports Drinks, Tea/Coffee",Not Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price, Convenience","Lack of Time, Lack of Information, Limited Options",Online,16-25,Very Likely,Maybe,"Free Samples, Recommendations, Health Benefits, Other","Berries, Tropical, Herbal, Plain","Energy, Weight Management","Too Expensive, Not Tasty, Good Value, Innovative",BrandC,Unlikely,No,
Under 18,Other,Other,Other,">50,000",Abu Dhabi,Rarely,Health Professionals,"Vegetarian, Vegan","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Milk, Other",Very Important,"Taste, Low Sugar, Added Vitamins, Affordable Price, Brand Reputation, Other","Cost, Taste Preferences",Gyms,16-25,Neutral,Maybe,Free Samples,"Citrus, Tropical, Herbal, Chocolate, Other","Immunity, Energy, Weight Management, Skin/Hair health","Too Expensive, Not Tasty, High Quality, Innovative","BrandE, Brand_S",Neutral,Yes,
55+,Prefer not to say,Asian Expat,Retired,"10,001-20,000",Dubai,Never,Magazines/TV,"Gluten-Free, Lactose-Free",Energy Drinks,Extremely Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Convenience, Other","Lack of Time, Cost, Taste Preferences, None",Other,16-25,Very Unlikely,No,"Free Samples, Attractive Packaging","Berries, Citrus, Tropical, Herbal, Chocolate, Plain","Immunity, Energy, Weight Management, No Specific Issues","Too Expensive, High Quality, Innovative","Brand_J, BrandD",Neutral,Yes,
35-44,Female,Other,Working Professional,"<5,000",Dubai,Daily,Magazines/TV,"Vegan, Gluten-Free, Diabetic","Water, Tea/Coffee, Other",Very Important,"Taste, Added Vitamins, Brand Reputation","Cost, Limited Options",Convenience Stores,5-10,Very Unlikely,Maybe,"Discounts, Attractive Packaging","Berries, Citrus, Tropical, Chocolate, Plain","Immunity, Digestion, Energy","Not Widely Available, Good Value, Innovative","BrandA, BrandD",Neutral,Maybe,
55+,Male,Asian Expat,Homemaker,"5,000-10,000",Ajman,Rarely,Friends/Family,"Vegetarian, Gluten-Free, Lactose-Free","Water, Soft Drinks, Tea/Coffee, Other",Extremely Important,"Added Vitamins, Brand Reputation","Lack of Time, Taste Preferences, None",Cafes/Restaurants,<5,Very Likely,Maybe,"Free Samples, Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Herbal, Plain","Immunity, Energy, Weight Management, Stress Relief, No Specific Issues","Not Tasty, Not Widely Available, Good Value","BrandC, BrandB",Very Unlikely,Maybe,
18-24,Male,Asian Expat,Retired,"35,001-50,000",Dubai,Daily,Social Media,"Vegan, Lactose-Free, Diabetic","Water, Juices, Sports Drinks, Tea/Coffee, Milk, Other",Very Important,Brand Reputation,"Lack of Time, Limited Options",Online,>25,Very Unlikely,No,"Free Samples, Discounts, Recommendations, Attractive Packaging, Other","Berries, Citrus, Tropical, Herbal, Chocolate","Immunity, Digestion, Skin/Hair health","Too Expensive, Innovative","BrandC, Brand_F",Very Likely,Maybe,
18-24,Female,Western Expat,Retired,"35,001-50,000",Ajman,Occasionally,Health Professionals,"Vegan, Lactose-Free, Diabetic","Water, Soft Drinks, Juices, Tea/Coffee",Important,"Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation","Cost, Limited Options",Cafes/Restaurants,<5,Unlikely,No,"Free Samples, Discounts, Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Herbal, Chocolate, Plain","Immunity, Energy, Weight Management, Skin/Hair health, Stress Relief",Not Tasty,"BrandA, BrandB, Brand_L",Unlikely,Maybe,
18-24,Prefer not to say,Emirati,Working Professional,"5,000-10,000",Abu Dhabi,Daily,Other,"Vegetarian, Gluten-Free","Juices, Energy Drinks, Tea/Coffee, Milk",Important,"Low Sugar, Added Vitamins, Affordable Price, Brand Reputation, Convenience","Cost, Lack of Information",Other,11-15,Likely,Yes,"Free Samples, Discounts, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Herbal, Chocolate","Weight Management, Stress Relief","Not Tasty, Good Value, Innovative","BrandB, Brand_I",Likely,Maybe,
Under 18,Female,Western Expat,Other,"35,001-50,000",Other,Daily,Magazines/TV,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Juices, Sports Drinks",Important,"Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Convenience","Lack of Time, Lack of Information, Taste Preferences, None",Cafes/Restaurants,11-15,Neutral,No,"Free Samples, Discounts, Attractive Packaging, Other","Plain, Other","Digestion, Weight Management",Not Tasty,"Brand_F, BrandD",Very Likely,Yes,
55+,Female,Asian Expat,Business Owner,"10,001-20,000",Other,Rarely,Magazines/TV,"Vegetarian, Lactose-Free","Water, Soft Drinks, Sports Drinks, Tea/Coffee",Extremely Important,"Taste, Added Vitamins, Affordable Price","Lack of Time, Cost, Limited Options, Taste Preferences, None",Supermarkets,>25,Neutral,Maybe,"Free Samples, Health Benefits, Other","Tropical, Chocolate, Other","Digestion, Energy, Weight Management, Stress Relief","Not Tasty, High Quality, Innovative","BrandC, BrandE, BrandB",Likely,No,
35-44,Female,Emirati,Business Owner,"<5,000",Other,Rarely,Friends/Family,"Vegetarian, Diabetic","Water, Energy Drinks",Extremely Important,"Taste, Low Sugar, Affordable Price, Brand Reputation, Convenience","Lack of Time, Lack of Information",Online,5-10,Unlikely,No,"Attractive Packaging, Health Benefits, Other","Berries, Citrus, Chocolate, Plain","Immunity, Weight Management, Skin/Hair health, Stress Relief","Too Expensive, Not Widely Available, Good Value, High Quality, Innovative","BrandC, BrandE, Brand_L",Very Unlikely,Maybe,
35-44,Other,Emirati,Working Professional,"<5,000",Sharjah,Never,Magazines/TV,"Vegetarian, Lactose-Free","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Other",Somewhat Important,"Added Vitamins, Affordable Price, Other","Lack of Time, None",Online,>25,Very Likely,No,"Free Samples, Discounts","Citrus, Tropical, Other","Immunity, Digestion, Weight Management, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty, High Quality","Brand_K, BrandA",Likely,No,
45-54,Male,Emirati,Homemaker,">50,000",Other,Daily,Magazines/TV,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Tea/Coffee",Somewhat Important,"Taste, Low Sugar, Added Vitamins, Brand Reputation","Lack of Time, Cost, Lack of Information, Limited Options",Supermarkets,11-15,Likely,Maybe,"Free Samples, Recommendations, Attractive Packaging, Health Benefits","Berries, Citrus, Chocolate, Plain","Immunity, Weight Management, Skin/Hair health","Good Value, High Quality, Other","BrandC, BrandA",Neutral,No,
25-34,Male,Arab Expat,Student,"<5,000",Other,Rarely,Magazines/TV,"Vegetarian, Lactose-Free, Diabetic","Water, Soft Drinks, Energy Drinks, Milk",Very Important,"Taste, Natural Ingredients, Affordable Price, Convenience, Other","Lack of Time, Cost, Lack of Information, Limited Options",Gyms,5-10,Very Unlikely,Maybe,"Discounts, Recommendations, Other","Berries, Citrus, Herbal, Chocolate",Immunity,"Not Tasty, Good Value, High Quality","BrandA, BrandD",Unlikely,Yes,
18-24,Prefer not to say,Other,Retired,"5,000-10,000",Ajman,Never,Friends/Family,"Vegan, Lactose-Free","Water, Soft Drinks, Juices, Tea/Coffee",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Other","Lack of Time, Cost, Lack of Information, Limited Options",Other,<5,Neutral,No,"Discounts, Recommendations","Berries, Citrus, Tropical, Herbal, Chocolate, Plain, Other","Immunity, Energy, Stress Relief","Too Expensive, Not Tasty, Not Widely Available","BrandA, BrandB, Brand_R",Very Likely,Maybe,
18-24,Male,Asian Expat,Business Owner,"5,000-10,000",Ajman,Daily,Social Media,Diabetic,"Water, Soft Drinks, Juices, Energy Drinks, Tea/Coffee, Milk",Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Other","Taste Preferences, None",Cafes/Restaurants,11-15,Neutral,No,"Attractive Packaging, Other","Berries, Citrus, Other","Immunity, Digestion, Weight Management, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty, Innovative","BrandA, Brand_T",Neutral,Maybe,
18-24,Female,Emirati,Student,"10,001-20,000",Abu Dhabi,Daily,Magazines/TV,"Gluten-Free, Lactose-Free, Diabetic","Water, Energy Drinks",Important,"Taste, Added Vitamins, Affordable Price, Convenience","Cost, Lack of Information",Cafes/Restaurants,5-10,Very Likely,No,"Free Samples, Recommendations, Health Benefits, Other","Citrus, Tropical, Other","Energy, Weight Management, Stress Relief","Too Expensive, Other","BrandE, Brand_Z",Unlikely,Maybe,
45-54,Male,Arab Expat,Retired,"5,000-10,000",Dubai,Occasionally,Health Professionals,"Vegan, Diabetic","Water, Juices, Energy Drinks, Tea/Coffee, Milk",Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation","Lack of Information, Limited Options, Taste Preferences, None",Online,5-10,Likely,Maybe,Recommendations,Citrus,"Digestion, No Specific Issues","Innovative, Other","BrandD, Brand_R",Neutral,Maybe,
45-54,Prefer not to say,Arab Expat,Homemaker,">50,000",Dubai,Rarely,Magazines/TV,"Vegetarian, Diabetic","Water, Energy Drinks, Milk",Very Important,"Taste, Added Vitamins, Brand Reputation","Lack of Time, Cost, None",Other,16-25,Very Unlikely,Yes,"Recommendations, Attractive Packaging","Berries, Herbal, Other","Immunity, Digestion, Energy, No Specific Issues","Not Tasty, Good Value","Brand_K, BrandA",Very Likely,Yes,
45-54,Other,Asian Expat,Working Professional,"<5,000",Dubai,Frequently,Magazines/TV,"Vegetarian, Gluten-Free, Lactose-Free","Water, Juices, Sports Drinks, Milk",Extremely Important,Brand Reputation,"Lack of Time, None",Cafes/Restaurants,<5,Neutral,No,"Free Samples, Recommendations, Health Benefits, Other","Citrus, Herbal, Other","Energy, Weight Management, No Specific Issues","Too Expensive, Not Tasty, Not Widely Available, High Quality","BrandE, Brand_Q",Very Unlikely,Yes,
